,SEASON,TEAM,BASKETBALL,FOOTBALL,BASEBALL,AVG
0,2006,Texas,19.625,8.0625,10.19047619047619,12.625992063492063
1,2006,Florida,2.8333333333333335,5.1875,6.5,4.840277777777778
2,2006,Clemson,21.333333333333332,17.272727272727273,5.904761904761905,14.836940836940839
3,2006,Georgia Tech,22.2,18.5,8.904761904761905,16.534920634920635
4,2006,LSU,11.833333333333334,9.1875,16.833333333333332,12.618055555555557
5,2006,Tennessee,21.5,14.625,15.1,17.075
6,2006,Notre Dame,20.4,9.1875,18.166666666666668,15.918055555555554
7,2006,Texas A&M,9.166666666666666,22.166666666666668,22.0,17.77777777777778
8,2006,Washington State,14.625,25.0,28.0,22.541666666666668
9,2006,Ohio State,4.055555555555555,1.0625,24.0,9.706018518518519
10,2007,Clemson,19.6,19.0,10.80952380952381,16.46984126984127
11,2007,Arkansas,18.5,20.0,8.523809523809524,15.674603174603176
12,2007,Texas,10.333333333333334,13.0,12.285714285714286,11.873015873015873
13,2007,Virginia,23.0,19.833333333333332,7.761904761904762,16.865079365079364
14,2007,Arizona State,23.0,12.166666666666666,10.047619047619047,15.07142857142857
15,2007,Tennessee,7.055555555555555,19.333333333333332,22.0,16.12962962962963
16,2007,UCLA,4.833333333333333,12.666666666666666,20.272727272727273,12.590909090909092
17,2007,Texas A&M,15.25,23.25,17.05263157894737,18.517543859649123
18,2007,Kentucky,20.0,16.125,13.166666666666666,16.430555555555554
19,2007,Florida,22.5,10.0,19.5,17.333333333333332
20,2007,Louisville,13.2,11.25,11.666666666666666,12.03888888888889
21,2008,Arizona State,17.833333333333332,15.0,3.2777777777777777,12.037037037037036
22,2008,North Carolina,2.3333333333333335,20.333333333333332,4.0,8.888888888888888
23,2008,Texas,10.0,4.882352941176471,16.0,10.294117647058824
24,2008,Florida State,23.5,21.714285714285715,4.333333333333333,16.515873015873016
25,2008,Clemson,14.846153846153847,17.333333333333332,17.25,16.476495726495727
26,2008,Miami,19.25,23.0,5.055555555555555,15.768518518518519
27,2008,Missouri,15.5,11.117647058823529,14.277777777777779,13.631808278867103
28,2008,UCLA,13.333333333333334,23.0,19.0,18.444444444444446
29,2008,LSU,18.25,10.0,11.125,13.125
30,2008,California,22.0,23.0,16.125,20.375
31,2008,Oklahoma,5.5,3.4705882352941178,25.0,11.323529411764705
32,2008,Florida,20.2,4.470588235294118,22.5,15.723529411764707
33,2008,Tennessee,14.3,18.0,30.0,20.766666666666666
34,2009,North Carolina,10.727272727272727,21.8,3.8333333333333335,12.120202020202022
35,2009,Florida State,21.5,18.0,8.846153846153847,16.115384615384617
36,2009,Texas,5.5,2.375,7.888888888888889,5.25462962962963
37,2009,Georgia Tech,21.1,13.133333333333333,10.0,14.744444444444445
38,2009,Miami,23.0,15.333333333333334,14.833333333333334,17.722222222222225
39,2009,Florida,13.5,1.4375,16.058823529411764,10.332107843137255
40,2009,Clemson,21.125,21.2,19.0625,20.462500000000002
41,2009,Notre Dame,23.0,22.0,27.0,24.0
42,2009,Michigan,15.0,23.333333333333332,28.25,22.194444444444443
43,2009,Oklahoma,19.666666666666668,15.2,17.11764705882353,17.328104575163398
44,2009,Ohio State,13.875,10.125,24.384615384615383,16.128205128205128
45,2009,West Virginia,7.611111111111111,21.8,26.0,18.47037037037037
46,2009,Kansas,1.3333333333333333,20.875,24.0,15.402777777777777
47,2010,Texas,11.8125,11.0,4.157894736842105,8.990131578947368
48,2010,Florida State,22.0,19.454545454545453,8.894736842105264,16.78309409888357
49,2010,Florida,15.7,12.25,8.105263157894736,12.01842105263158
50,2010,North Carolina,16.625,18.0,17.166666666666668,17.26388888888889
51,2010,Ohio State,1.8235294117647058,5.1875,18.166666666666668,8.392565359477125
52,2010,Texas A&M,18.833333333333332,19.0,23.8,20.54444444444444
53,2010,Arizona,15.333333333333334,16.545454545454547,21.333333333333332,17.73737373737374
54,2010,Pittsburgh,4.470588235294118,15.0,23.0,14.156862745098039
55,2010,Virginia Tech,22.0,15.454545454545455,22.6,20.01818181818182
56,2010,Connecticut,9.066666666666666,25.0,21.5,18.522222222222222
57,2011,Florida,12.666666666666666,16.666666666666668,2.736842105263158,10.690058479532164
58,2011,Texas A&M,22.166666666666668,13.777777777777779,8.578947368421053,14.8411306042885
59,2011,Florida State,20.0,16.9,10.210526315789474,15.703508771929824
60,2011,Virginia,20.363636363636363,24.0,4.631578947368421,16.331738437001594
61,2011,Baylor,7.5,19.0,27.0,17.833333333333332
62,2011,Alabama,16.5,2.3125,20.0,12.9375
63,2011,Mississippi State,18.75,20.333333333333332,17.5,18.86111111111111
64,2012,Florida,8.11111111111111,9.75,3.0,6.953703703703703
65,2012,Florida State,25.0,8.5625,5.368421052631579,12.976973684210526
66,2012,Louisville,5.944444444444445,18.133333333333333,23.11764705882353,15.731808278867101
67,2012,UCLA,16.8,19.333333333333332,11.944444444444445,16.025925925925925
68,2012,Arizona,8.38888888888889,23.333333333333332,10.526315789473685,14.082846003898636
69,2012,Oregon,19.375,3.0625,11.263157894736842,11.233552631578947
70,2012,Baylor,19.666666666666668,25.0,11.294117647058824,18.65359477124183
71,2012,Oklahoma State,19.25,20.75,24.0,21.333333333333332
72,2013,UCLA,21.857142857142858,15.117647058823529,9.578947368421053,15.517912428129145
73,2013,Oregon,14.8,4.529411764705882,9.842105263157896,9.723839009287927
74,2013,Oklahoma,23.4,15.058823529411764,13.5,17.319607843137252
75,2013,Texas,20.4,19.0,22.666666666666668,20.688888888888886
76,2013,Louisville,9.277777777777779,13.647058823529411,12.894736842105264,11.939857814470818
77,2013,Florida,9.055555555555555,17.0,21.0,15.685185185185185
78,2013,Notre Dame,21.0,20.77777777777778,20.166666666666668,20.64814814814815
79,2013,Oklahoma State,8.714285714285714,14.235294117647058,23.09090909090909,15.346829640947286
80,2014,Louisville,8.38888888888889,22.5,10.263157894736842,13.717348927875245
81,2014,North Carolina,14.777777777777779,22.0,15.142857142857142,17.306878306878307
82,2014,UCLA,22.0,13.8125,21.11111111111111,18.974537037037038
83,2014,Oklahoma State,22.333333333333332,20.2,12.3125,18.281944444444445
84,2014,TCU,25.0,8.416666666666666,14.2,15.87222222222222
85,2014,Arizona,5.222222222222222,14.454545454545455,23.0,14.225589225589227
86,2014,Washington,16.75,25.0,11.923076923076923,17.89102564102564
87,2014,Baylor,19.333333333333332,7.411764705882353,29.0,18.581699346405227
88,2014,Oklahoma,17.941176470588236,11.357142857142858,28.0,19.099439775910366
89,2014,Duke,3.3333333333333335,22.5,30.0,18.61111111111111
90,2014,Nebraska,21.0,19.642857142857142,24.666666666666668,21.76984126984127
91,2015,LSU,22.0,11.4,2.2777777777777777,11.892592592592592
92,2015,UCLA,23.5,16.0,6.722222222222222,15.407407407407407
93,2015,Oregon,16.454545454545453,14.333333333333334,12.4,14.395959595959596
94,2015,North Carolina,5.611111111111111,13.428571428571429,22.25,13.763227513227513
95,2015,Baylor,19.875,6.125,23.0,16.333333333333332
96,2015,Texas A&M,17.142857142857142,15.0,5.8125,12.651785714285714
97,2015,USC,22.0,15.125,16.3125,17.8125
98,2015,Notre Dame,20.166666666666668,8.75,24.4,17.772222222222222
99,2015,California,18.4,22.5,15.923076923076923,18.941025641025643
100,2015,Arizona,13.61111111111111,20.0,19.0,17.537037037037038
101,2015,Iowa,10.4,9.727272727272727,17.09090909090909,12.406060606060606
102,2015,Oklahoma,4.055555555555555,12.125,23.666666666666668,13.28240740740741
103,2016,Florida,19.923076923076923,18.0,1.8421052631578947,13.255060728744938
104,2016,Louisville,9.88888888888889,9.375,5.2631578947368425,8.175682261208577
105,2016,Miami,25.0,17.857142857142858,3.4210526315789473,15.42606516290727
106,2016,UCLA,6.777777777777778,16.0,20.5,14.425925925925926
107,2016,Oregon,12.38888888888889,23.333333333333332,14.0,16.574074074074073
108,2016,Florida State,15.857142857142858,12.3125,9.5,12.55654761904762
109,2016,North Carolina,7.833333333333333,19.166666666666668,12.0,13.0
110,2016,Michigan,25.0,4.3125,24.11111111111111,17.80787037037037
111,2016,Notre Dame,20.923076923076923,15.333333333333334,28.0,21.418803418803417
